name,price,imageUrl
A Friday in September by Charlie Kelly,400,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/a_friday_in_september.jpg
Memorial Drive by Charlie Kelly,600,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/memorial_drive.jpg
East of Hatch Shell by Charlie Kelly,150,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/hatch_shell_east.jpg
Seven Hills Park by Charlie Kelly,180,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/seven_hills_park.jpg
Gosport Harbor by Charlie Kelly,350,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/gosport_harbor.jpg
Norumbega Tower by Charlie Kelly,280,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/norumbega_tower.jpg
Sarah Mildred Long Bridge by Charlie Kelly,100,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/sarah_mildred_long_bridge.jpg
Birches in Herter Park by Charlie Kelly,100,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/herter_birch.jpg
Caterpillar Hill by Charlie Kelly,450,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/caterpillar_hill.jpg
Riparian Balcony by Charlie Kelly,250,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/riparian_balcony.jpg
Watertown Dam by Charlie Kelly,150,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/watertown_dam.jpg
Buildings and Stuff by Charlie Kelly,400,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/buildings_n_stuff.jpg
Fishing by Charlie Kelly,200,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/fishing.jpg
Cambridge Common by Charlie Kelly,150,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/cambridge_common.jpg
Esplanade, Looking East by Charlie Kelly,200,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/hatch_esplanade.jpg
Capitol by Charlie Kelly,150,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/capitol.jpg
Longfellow Bridge, night by Charlie Kelly,120,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/longfellow_night.jpg
MIT, Sunset by Charlie Kelly,100,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/mit_sunset.jpg
Herter Park by Charlie Kelly,180,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/herter-park_2019.jpg
JFK Memorial Park by Charlie Kelly,150,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/jfk-memorial-park.jpg
Footbridge at Watertown Dam by Charlie Kelly,400,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/footbridge-watertown-dam.jpg
Charles River, Watertown by Charlie Kelly,180,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/charles-river-watertown.jpg
Under Eliot Bridge by Charlie Kelly,250,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/eliot-bridge.jpg
Hyatt Regency by Charlie Kelly,350,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/cambridge-hyatt.jpg
Boston Skyline by Charlie Kelly,300,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/boston-skyline_2019.jpg
MIT, night by Charlie Kelly,280,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/cambridge-night.jpg
Boston Public Gardens by Charlie Kelly,420,https://res.cloudinary.com/cantimaginewhy/image/upload/w_400/art/boston-public-gardens-2.jpg
  